result-preprocessing,label
kampanye jis paslon 01 anies muhaimin amin membludak bukti antusias masyarakat suara ubah,Positif
gak ah anies kalah ntar nang ya dukung prabowo,Netral
paslon 03 aja deh anies kalah putar,Netral
margahayu raya bandung,Positif
gak banget jawab kayak gin kayak gin pimpin ogahhh ogahhh anies kalah beliau ita serah yah putar,Negatif
beras mahal langka mas aja bacotin ginian mulu dah dibilangin ga bukti zaman anies masiii aja,Negatif
wkwkwkwk jgn knp sy g pilih anies,Negatif
emang anies ngapain deh kocak lu lapor lapor mulu,Negatif
makan sih anies singgung rekam jejak emang pengaruh kait bijak,Netral
eh btw tiktok rame bgt live pagi2 banjir jakarta dgn narasi nyalahin anies,Negatif
anies keluarga nyoblos tps 060 lebak bulus,Netral
anies lahh menang kalah pro,Positif
prabowo anies sandar tinjau dapat minggu prabowo oleh 50 atus undi gus boleh menang pusing,Netral
kritik anies sampe seakan2 kedip aja salah mata gue,Negatif
bismillah ya allah,Positif
best sih anies ya paslonnya tpi sampe kalah dukung 03 aja deh,Positif
puan anies gibran cawapres,Netral
14 februari 2024 teman rintik hujan optimis abah awal subuh serang close the door tidur bobo coblos dirty vote santri,Netral
habis energi utk edukasi si anies program indonesia ajar lelah yoo tim nya utk edukasi gerbong buzzerrp,Netral
haji madani sedia gubernur anies bikin aji subuh jakarta stadion jis beliau ketua aji subuh jaksel depok sayang tunda pandemi dll rasa pilih amin dpd nya ya pilih beliau,Netral
laku anies presiden 2024,Netral
insya alloh amiin presiden for indonesia 2024 anies baswedan is the best 2024 ammiinn,Positif
mari pilih anies hasil putar pilih 02,Netral
anies cak imin,Positif
kreatif banget bjir anies khan wkwk ngakak tapi baguss aja ide nya,Positif
pro anies muhaimin jamin yok dukung,Positif
plot twistsnya anies menang 1 putar,Positif
jatim,Positif
emang bener anies sih sampe kalah sih dukung paslonnya 03,Positif
butuh pimpin kerja,Positif
pilih anies ya putar tenang putar 02,Netral
anies menang semangat usaha keras 5 teman teman as a freshgraduate politik,Positif
anies sih kalah better tuh,Positif
klakuan anies gubernur karna gak sorot media aja hamble peduli ampe kalang rakyat gak heran berita,Positif
bkn islami tp anies pny aura positif nganggep rekan kerja tara duduk support anies tipe orang alfa dominasi cak imin jg pny panggung sbgai cawapres,Positif
gue bilang anies cm janji manis ntu org2 dr jkt wkwkwkwkkwkwk gapernah maen jkt cm makan farming tiktok,Negatif
putar mari teken anies gak menang putar pilih 02,Netral
jelang mungut suara pilpres 2024 capres nomor urut 1 anies baswedan coblos tps 60 lebak bulus jakarta selatan rabu 142 pagi ard,Netral
tolong tkn laporin bang sandi neeh kasih note positif anies muhaimin dll berani gajangan bacot lapor lawan banci,Negatif
today is the day insya allah with all the power and grace of allah masyarakat indonesia pimpin hebat nazzar anies cak imin menang snack anak anak rumah,Positif
putar pilih anies putar pilih 02 masuk,Netral
gue aja nonton vid anies wawancara wartawan blio dilaporin bawaslu asli gue blio uda cape bgt anjir,Netral
amin indonesia ubah 2024 anies presiden,Positif
tetep pro anies harap maaf gk milih 02,Netral
salam ubah,Positif
dukung mas anies mantan die hardnya gemoy politik nalar logika sih,Netral
anies sbg umat islam bilang agamais politik identitas anies ngeresmiin gereja gereja tuduh udh baptis yohanes gue ya anies jan diem diem aja napa kali teriak anjiiiinggg,Netral
moga pilih baik allah abah anies tp ga gpp deh,Positif
yuk putar pilih anies jalan putar 02 pilih,Netral
hahaha bohong video prabowo pilih kerja malaysia bilang video nama anies hoax nama prabowo gaung tkitkw pro prabowo karna bantu,Netral
ss tunjukin pimpin anies udah habis ngeles sampe udah ya gak bahas politik,Netral
suka dukung anies bgini adem,Positif
pilih anies ya putar tenang putar 02,Netral
anies satusatunya politis gak pegang parpol karir politik nya ajaib dobrak hegemoni,Positif
nangiss bgt bnr2 love language kyk nya borong anies tp heran nya msh ajh org2 percaya video fitnah tuju beliau,Positif
ga suka dukung 01 khusus bar2 kek anjing bangsat bgt si panita surga cuihhh ga wakil partai pks tp insyaallah karna hati nurani pilih pa anies,Positif
alas papa pilih no 3 bantu tetangga mahfud alas mama pilih no 1 njelasin az tetangga mama pas anies semangat tetangga2ku,Netral
putar mari teken anies gak menang putar pilih 02,Netral
real bikin tiktok ttg buku direkommendasiin anies pake bahasa inggris komennya adem bebas all in all in mayan fyp pdhl,Positif
ya allah bantu anies baswedan presiden aamiin,Positif
putar pilih anies putar pilih 02 masuk,Netral
insyaallah,Positif
pilih 01 presiden bp anies rasyid baswedan wapresnya bp muhaimin iskandar,Positif
malem ngomong gin ayah anies deg degan ga ya besok ayah ya engga udah bagus kampanye kemaren udah pasrah kasih baik engga ngincer anies indo,Positif
terang pilpres kali sy bayang deg2an beda dng pilpres2 sblmnya benak muncul khawatir 01 kalahgagal putar ke2 bgmn sakit asa moga aniesimin lapang usaha2nya menang pilpres deg2an bahagia,Positif
panik berat anies lapor,Netral
lanjutin acara desak anies gt tagih anies,Netral
ya aneh bgt ya knp prabowo wakil mega anies dlu jubir jokowi loh tim menang mega prabowo jg jokowi gak ngaruh alam kerja mrk orng orng profesional bidang,Netral
milu anies menang,Positif
putar mari dukung anies putar pilih pilih 02 ya,Netral
jam 0430 subuh dadak hujan gerimis tp lumayan awet nih tenang ttp semangt tps ditujuyuk ah abah anies subuh tps,Netral
lucu mereka2 ngaku intelek suka gaya doi kek gt madam curiga apa pesan dr anies nih ga sampe dukung,Negatif
mama anies sj pilih liat ubah angjay mama kuu jiy,Positif
anies menang sampe kalah dukung,Positif
ya allah moga coblos anies,Positif
anies jg g,Netral
sebutnamapls,Netral
knp pilih anies gw aja karna gw gemoy,Positif
tenang anies tuh tukang culik kayak wowo,Netral
ungkap dlm debat capres anies anies asal,Netral
demokrasi beda nilai suara kaum didik rendah,Netral
moga alloh menang pasang amin,Positif
baik ya anies sampe kalah sih bagus,Positif
alhamdulillah warga negara indonesia hak konstitusional pilpres 2024 paku tancap serta doa moga allah ijabah h anies presiden 20242029 aamiinyra,Positif
kait potensi curang milu timnas aniesmuhaimin 2 kali kpu audit sistem it respons,Negatif
keluarga lucuuu mama pilih bapak pilih prabowo pilih anies keluarga ngasih masingmasing suara paslon,Netral
ak mw traktir dukung anies ucap terimakasih org uda peduli ubah wrwrw insyaallah,Positif
gus imin tps mas anies jaga,Netral
gaboleh pesimis dgn logika pa anies susah menang apa hasil bangga baris ubah,Positif
bismillah anies yaa qadarullah izin yah no ps pokok,Positif
ya allah mimpiin anies,Positif
pilih anies muhaimin presiden ri 2024 amin,Positif
gabung sosok sahabat silent mas amanah rakyat kelak bawa adil amp makmur nihil kkn ridho ilahi manusia langit nilai,Positif
tagih anies janji kampanye tuai pilih rakyat beliau sedia pimpin bertanggungjawab cela,Positif
jdi inget tdi makan nonton desak anies belah milihnya beda wkwkwk,Netral
harap anies menang ga pilih pabila anies kalah,Positif
siaaaaaaap,Positif
mah emang pinter komennya gue liat makan janji manis wkwkwk nama capres ya janji gapunya janji ape tagih liat kerja nyata anies pd maen maen dah sono jkt,Positif
ubah sejahtera rakyat bangsa negara abah anies cak imin harap ubah nyata ayo ajak keluarga tetangga pilih 01 anies baswedan presiden 2024,Positif
insyalloh,Positif
anies klau berkenannnt habis lantik presidend teropong yeorang ngerampok uang rakyat,Netral
setia abah anies tp paling mmg nyata gagal putar bsa option kaya,Netral
payakumbuh,Positif
anies kalah putar pilih 02,Netral
mari menang anies kalah cuss putar ps penting,Netral
kemarin survei media asing nggak capek ya anies udh bikin gue klop antri,Positif
ya syukur aja wo tp pilih gue tetep anies anies kalah,Netral
sungguh pimpin etik hilang legitimasi,Positif
emg maling ngaku teman kau maling duit bazzar ngaku alhamdulillah sadar gk pilih anies anies imam mahdi lg dukung si wowo weeehhhh males dh debat sm bodoh cocok jg sm si wowo sm2 anti kritik,Negatif
temenku 02 kasih fakta paanjaanggg bgt ttg 02 gk pilih anies yauda gapapa pilih 03 aja jgn 02 geeerreem bgttt liat bela2in wowo segitunya awal2 blg si wowo gk masuk akl gk bukti si wowo gk ngaku ya bilang,Netral
anies suara titip harap moga amanah ya,Positif
bismillah ya allah ya tuhan ku tolong jaga menang milu 5 kali milu ga pake hati kayak gin go anies,Positif
otw rumah teriak eh buset anies 90 reflek toleh eitsss ucap doa langsung tinggal bjirrr,Netral
anies toleran damai ragu vote,Positif
mantap emang 01 dukung hti fpi wahabi dukung amrik lu liat fpi nyatu ama amerika wkwkwkwk anies fitnah udah kena beliau moga allah angkat derajat,Positif
testoni bayar untung p anies,Positif
aja nyebar fitnah dukung anies nih puan ngebantah ga jg jkw terang2an media bilang 3 periode,Negatif
strategi anies gagal putar 1 pilih dukung pranowo dukung prabowo subianto,Netral
anies menang rajin ngonten,Positif
cewek pake baju kuning joget anies cantik yak,Netral
untung p anies yuk sia sia sempat emas pilih beliau indonesia sejahtera maju adil adab,Positif
gw anies kalah ya,Negatif
ayo saudara sabang merauke gerak hati peduli keluarga tetangga coblos anies ubah moga anies cak imin lancar presiden wakil presiden indonesia 2024 amin,Positif
pilih nomor rugi dongg pilih anies baik anies kalah ygy,Positif
bismillahanies rasyid baswedan for ri 01,Positif
hati mulia anies mantap dukung anies,Positif
untung aksi jalan dah tangkap duluan anies perilaku dukung wakil sifat orang dukung,Netral
biaya akomodasi inap makan visa dll murah tekan 90 konsep hal tinggal kampung moga alloh swt meridhoi kabul doa umat menang anies muhaimin amin,Positif
ngira si kl abang 01 berakhlaqul karimah kaya anies abang pst nya pilih gibran sesuai dgn tingkah,Positif
anies menang presiden ri raja arab saudi hak pakai tanah diri kampung haji indonesia baca kawasan mukim hotel giat ibadah haji umroh negara arab kuwait qatar emirates dll,Positif
anies wes lahh karep karepmu,Netral
janji raja arab saudi anies baswedan menang pilpres 2o24 anies baswedan menang pilpres presiden indonesia 2o24 ongkos haji onh 10 juta nyata jasa,Positif
polling twitter anies slalu pimpin heran sma survey survey mreka survey dmn ya,Positif
anies menang janji ga bolos2 kelas plis ya allah,Positif
hasut pilih baik aniesmuhaimin no 1,Positif
bilang zionis wkwkw kenceng aja narasi negatif kemaren2 cecer kpk ga bukti apa2 korupsi pilih beliau nama manusia ga sempurna program anies ga jalan ga dapet lampu hijau pusat,Positif
pilih tukang bungkam pers anies aja beliau lapor kuy anies kalah,Positif
fair paslon nomor 03 plg sdkt buruk banding paslon lainyg pilih anies n prabowo bkn mega surya paloh or jokowigunain akal sehat sblm pilih jgn lupa doa dlu biar g slh milihgod bless,Netral
ya allah moga anies masuk putar takut banget,Positif
anies udh 400 lebib taman jkt wkwkwkwk 4 th jabat,Positif
pilih anies,Positif
juang dukung anies berat pahlawan ubah hati bayar,Positif
nonton video anies diroasting jurnalis,Netral
bidikmisi jaman sby ngliat saudara2 ku rempang kampung bayam bener2 butuh pimpin mihak rakyat pilih anies neng dialog,Positif
mas aja bawa video th 2019 anies bilang gamau nyalon prabowo,Netral
bismillah inshaa allah anies baswedanmuhaimin menang mutlak aamiin allahumma aamiin yaa rabb,Positif
bilang orang ternate milih anieskayaknya zainal mohtar cerdas,Positif
presiden wakil presiden insya allah kiri mari coblos anies muhaimin duanana pake peci amp kacamata pliss menang dh buzzer non rp cc,Positif
dukung penuh anies 01 pimpin nya,Positif
selamat pagi kawankawan penjuru tanah air bismillah yoo siap2 tps masingmasing insya allah menang antar its time for change,Positif
lepas apa hasil pilih hormat bangga program desak anies ajar warna barru demokrasi terimakasih amp kampanye kualitas manfaat bangga baris ubah,Positif
anies lamalama kaya wonyoung anjir diem aja disalahin,Netral
harap anies presiden,Netral
semarang malang bandung negeri pilih anies ga ud kerja ambil phd ga ajaib grassroot ga anti jakarta gantung follow aja suka follow ky gitu coba ig okehore,Netral
insyaallah,Positif
kasi dukung 01 cuci otak gak pilih anies dgn dosa pilih anies jamin masuk surga anies imam mahdi malaikat jibril utus anies ya udh knp gk pergi cepet aja si percaya bkl auto masuk surga oops,Negatif
rangkasbitung lebak banten hadir,Positif
hati pilih anies puling sure pay pilih jln ya,Netral
menang allah izin kalah allah selamat h anies rasyid baswedan mpp phd,Positif
lihat video tiktok kampanye anies serta rombong unjung jenguk kyai haji abah hanafi karawang embel2 atribut kampanye,Netral
anies from hybe muhaimin from prabowo from attrakt gibran individual trainee from sm mahfud fro jyp,Netral
ahok bilang cagub dki 2017 framing jkw ahok penjara anies radikal 2 periode,Netral
anugerah allah rakyat indonesia sih kaum hawa lebay banget kultus sosok anies medsos,Netral
jokowi disandingin dg anies ya emg level banget kek pdhl gubernur,Netral
anies baswedan jelang coblos gelora ubah kuat,Positif
anies uda menang tinggal lantik aja01 menang,Positif
bawa anies gubernur dki prabowo,Netral
moga abah anies amanah pimpin bangsa indonesia,Positif
polos kali kau nder harga2 butuh pokok bijak pajak bantu sosial sehat hasil putus politik nder pilih presiden trus presiden keluar bijak atas sampe pilih presiden liat track record anies deh keren,Positif
allah tolong anies,Positif
tagih anies,Netral
lu kaya ga syuting podcast aja si syuting nya sblm tenang upload nya skrg ya lu deddy trs anies kampanye karawang gak lu sindir iki piye sih,Netral
amiinnn negeri dukung anies gk nyoblos,Netral
subang,Positif
aamiin insyaallah anies menang,Positif
amin ubah 2024 anies presiden,Positif
wibu ga milih anies,Netral
cak imin tim menang nasional aniesmuhaimin timnas amin ecek alami wni hak pilih,Netral
aamiin ya rabbal aalamiin kabul ya allah anies baswedan muhaimin iskandar sbg presiden wakil presiden 2024 2029,Positif
serta video amp data anies aku sebut imam mahdi jgn nyerocos aja data ndasmu gobk,Netral
another gem from 2011 program indonesia ajar bangun taman literasi martha christina tiahahu gubernur model kampanye dialog desak anies beliau konsisten ken manusia cerah,Positif
anies vibesnya positif saking positif cak imin bawa positif njir,Positif
nazar pa anies presiden 2024 bagiin makan gratis jumat berkah ga,Positif
pilih anies dikatain goblok ga,Negatif
tos ayeuna mah tibatan parasea gera aribak we minimal sibeungeut atulah isin ku tugas kpps bis aya dahdir jeung cileuhan keun we ek nyoblos anies prabowo ublag kultilanak ge tong didamel pipaseaeun bebaskeun weh nu moal mah gera barobo deui we enak hujan kieu,Netral
anies cak imin menang putar 1 putar,Positif
ha apaansi lu tbtb anies,Netral
anies kalah dgn curang hati hati jaga tps,Negatif
suruh ayah milih prabowo maaf diri coblos anies,Positif
wow gue liat anies marah,Netral
moga allah hancur makar jadi anies muhaimin pimpin,Positif
my dad once said anies menang curang curang beliau allah knows the best bismillah,Positif
dukung garis keras capres anies dulunya dukung garis keras capres prabowo ya prabowo watak culik ga hilang dr bikin rusak dukung capres rusak,Negatif
butuh vidio anies anak anaaaak,Netral
anies baswedanmuhaimin iskandar nyoblos tps jakarta,Netral
ajaib yall adek mak w alih anies keluarga jalan,Positif
sebenernya gue bikin tweet pilih gw langsung aja percaya gw pilih anies 3 gw cermat calon isu lingkung gue bilang anies deliver sbenernya butuh,Positif
14102022 anies temuin demonstran balai kota,Netral
anies menang hati rawan alangkah bahagia menang pilpres,Positif
tanda perintah urus fisik doang awareness masyarakat ga diperhatiin bikin gue bener2 salut ama anies siapin infrastruktur sembari bangun awareness sadar publik transportasi urus,Positif
alhamdulillah allahuakbar malang amin,Positif
anies,Positif
bagong milih karna ajudan ganteng tuh gimana ya kak ya bener sih bahas imam mahdi video anies gereja sanding sound ceramah film 2 jam kalah video 1 menit kabar adzan diteobos alfatihah tahiyat dimainin,Netral
ku mantap pilih anies kalah putar pilih aja,Positif
gw yah anies milih wakil ahy ngangkat 1 ganteng pilih suka ganteng gagah 2 masyarakat rindu era sby 3 ceruk pilih beda dr anies,Netral
yakaannnn pa anies tuh aura nya positif vibe banget yaallah presiden kaya gitu,Positif
foto anies prabowo muda prabowo aktif militer pakaiyan militer nya,Netral
iya udh pd liat curang jdi pd pasrah ae orang anies ngomong kalah jdi presiden nnti bisnis aja kayak udh nyalon 4 kali tpi bilang tdk haus kuasa hmm,Netral
ya robb moga anies presiden,Positif
suka lucu ajh pdhl kacau kuasa jg mreka ko anies disalahin haha dagel emang,Netral
gw milih kak kadam salam ubah abah anies amin no 1 salah abah,Positif
ni juta orang indo alzheimer kali yak citra prabowo 2014 2017 amp 2019 runtuh gemoy amp jokowi anies ga ngapangapain kena framming sampe emang gabener nih pola pikir gws,Negatif
bismillah anies baswedan for president ri,Positif
fakta halusinasi sih anies pdip mang gibran link berita,Netral
moga anies ubah tradisi insyaallah,Positif
anies doang ya bu,Netral
anies kalah gw makan mie ayam 24 jam,Netral
duhh gemesnya anda suruh tonton wawancara nya anies andykick andy yt dosadosa anies saudara pikir nya sihh woeyy omong ji anies adekku video jedak jeduk tektok,Netral
emang lo baca berita2 01 gubernur jkt sih wkwk lo jg orang jkt kali ya ga ngerasain lgsg hasil nih baca aja udh dilakuin anies pas gubernur situ capai gubernur,Positif
gada lbh layak anies lu puja nepotisme batu bet dibilangin,Positif
anies pilih rocky gerung 2022,Netral
salah pilih bangsa kl anies nggak anies kalah putar,Netral
oalah pantes temen kelas gw milih anies gegara fitnah imam mahdi,Netral
dear desak anies d,Netral
ceritane ki lagek orasi neng stadion konsep acarane calon orasi panggung ganti rodok wagu emang sing aneh raono anies neng kono pendukunge raono tanda ng stadion kui mung meh ndelok orasi rak dukung sopo2 gt,Netral
insyaallah 01 menang,Positif
koba bangka bangka belitung keluarga pilih abah sm cak imin bismillah,Positif
anies matta antum murobbi sayatapi politik maaf jejak,Netral
siaap,Positif
bismillahirrahmanirrahim mari sambut menang mari sambut ubah arah insya allah aniesmuhaimin presiden ri 20242029,Positif
yakin hati nurani pilih anies alami kalah dukung pindah aja,Netral
moga abah anies menang aamiin ya rabbal alamin,Positif
bismillahirrahmanirrahim yaa allah mohon kepada kuat hati pikir pilih calon presiden indonesia moga engkau ridho anies rasyid baswedan pimpin negeri jadi bangsa syukur nikmat,Positif
huft menganieskan kerabat ganjar keluarga detikdetik surprisingly ga batu moga konsisten bilik suara diomongin,Netral
tetangga gw anies ngomong doang coba kerja ga gw ga gw senyum aja ngapain nanggepin orang kaya gitu,Netral
ya orang manipulatif kayak soksokan tuntut dukung anies xxx nggak emang calon anies nggak nggak kaget orang kayak pilih prabowo,Negatif
temenku bilang fitnah anjir kenceng banget ngatain aniesganjar rebut gibran nyerang mulu laaaahhh sebenernya bebas deh pilih emang cocok program tuh dukung beneran nutup mata faktafakta jahat pr,Netral
